address,eth,deployed_at,high,all_known
0x96e423291765c60e0fbc2cfb2bc538fb6ccdadd9,50.459702035,2016-10-25 12:57:43+00:00,,kill()
0x032c3617cf609f90a4a824c2aac25a228a966d33,43.450000016,2017-08-07 22:48:28+00:00,,kill();collect()
0x9bcccfe019c78cf85a44044d7ae718e5ef8c419b,43.342,2017-08-07 20:06:21+00:00,,kill();collect()
0x698b7b96885ebbdced61d39a869a22e3dac8dc02,29.492097491,2017-08-07 23:32:10+00:00,,kill();collect()
0xea8bd3a7e1ea3f7118bde9a357e0fbb4b229584a,25.91841542,2017-04-21 23:56:28+00:00,,kill();collect()
0xf128d3173a194bda5df4c411f8333d2045a29480,18.93598,2017-07-25 21:59:05+00:00,,kill();collect()
0xf9837167c3b465d2b041748dca0a81f13f18ba3f,18.289779114,2017-08-07 20:49:27+00:00,,kill();collect()
0x2cac6e4b11d6b58f6d3c1c9d5fe8faa89f60e5a2,18.165856734,2016-05-05 04:14:37+00:00,,kill()
0x30b6a0a316f19f746ab23c983e9db044494b0685,17.990000008,2017-08-07 23:54:48+00:00,,kill();collect()
0x79f2b7994f3e9ad7b475e955592c7349e17c9254,17.880848106,2017-07-25 22:13:09+00:00,,kill();collect()
0xb233cb2f0dce57a56bf732767f45ffc8650186c5,17.317860957,2016-06-30 13:01:59+00:00,,kill()
0x5597c9495f0df2d34ce175c448bc0e2a6bc86739,16.641000008,2017-08-07 22:19:23+00:00,,kill();collect()
0xda0e8afa6b84b8e609430a384f31ed3c51ae0a69,16.48831059,2017-08-07 20:33:40+00:00,,kill();collect()
0x17f8f33e33a65346916a816177ce7dac2fb68d35,16.42548762,2017-03-22 12:11:59+00:00,,kill();collect()
0x2ed0cb0c5bca8581b5ce01a1622cf4d3f3997863,16.1938,2017-08-18 07:39:19+00:00,,kill();collect()
0x4d75e359f66a79ce486d26398cd7d9409deb03c6,15.990000008,2017-08-07 19:28:13+00:00,,kill();collect()
0x366c39b77ae23becae87ee23fdacbe77ccb26f48,15.178831418,2017-08-08 00:37:32+00:00,,kill();collect()
0x2fadd417e12a6bd71052ac095ae76f74433d44ab,13.244004981,2017-07-25 21:22:26+00:00,,kill();collect()
0x3457edb7f4790ae5fd59de271b58001c73dfc006,12.667565742,2017-07-25 01:25:48+00:00,,kill()
0x520403af9b53b14a4cdf3c8ae3cb3cd3c883b9b5,12.167000008,2017-08-07 20:23:39+00:00,,kill();collect()
0x0ae93d83c2e6ff3e6af4537c7b6f7ff394144793,10.868115629,2017-08-18 07:39:19+00:00,,kill();collect()
0x0f80506e9ccda50b142916342f062d4de9cd7cbd,10.53881577,2017-08-07 19:49:02+00:00,,kill();collect()
0x51bb43a1cdef43f24c44ccc368a4ac228aec0c11,10.52087418,2017-08-07 20:31:02+00:00,,kill();collect()
0x6c88981227e4c2ad63886cf8eac9144729b4c2f4,10.444461855,2017-08-18 08:23:49+00:00,,kill();collect()
0xcc4fc5021b571a03844de6f598d147993ff1b3e3,10.28406101,2017-08-07 21:19:31+00:00,,kill();collect()
0x3aa6d8a9039f10e94116149ee6a4d0759ac81b36,10.147260203,2017-08-07 19:28:10+00:00,,kill();collect()
0xc1950f7049f576ef6966dcad20d7d3bd82c49326,10.022066072,2017-05-02 02:51:55+00:00,,kill();collect()
0xd949ecd0f8980863150e681447f8c8167d90cf4e,10.0,2017-08-19 18:25:30+00:00,,kill();collect()
0x63d62340aeaadb85abd1abbd7bf1f2cfb0e34d4d,10.0,2017-07-18 17:25:35+00:00,,kill();collect()
0x3e52fc0781c072e4cd67992a5edddd530b07338d,10.0,2017-08-07 19:20:06+00:00,,kill();collect()
0xdbfd5808090222aae744204ac084278bf79e0f48,10.0,2017-08-08 00:20:58+00:00,,kill();collect()
0xf91424e04e4585c2794f7305fb326070cea8b702,10.0,2017-08-18 08:22:07+00:00,,kill();collect()
0x175b7be1e090b7b5e7d9ef9384c94742035e7d9c,10.0,2017-08-07 21:18:48+00:00,,kill();collect()
0xa374061b235b59f029a495f5905fce98bec41f9e,10.0,2017-08-18 08:00:48+00:00,,kill();collect()
0xd0917acf1977b658f3e82d05377be8c04fa1d4d8,10.0,2017-08-18 07:52:41+00:00,,kill();collect()
0x3bacf1a4e2942188ebe54745705462899f8af13b,10.0,2017-08-07 20:13:13+00:00,,kill();collect()
0xa215d2650d4e1e787ee1fbea0ed14875846ad610,10.0,2017-08-18 07:56:33+00:00,,kill();collect()
0x2fec6d47f1320ffab0f1c9e1e2e729447cdda203,10.0,2017-08-07 23:52:30+00:00,,kill();collect()
0xaacf7413a9a94d6539640ededaca8d0346d7a59e,10.0,2017-07-25 21:41:52+00:00,,kill();collect()
0x8ac27e2cb246830a4ff6f335cd2c0a7ec98dc09f,10.0,2017-08-07 19:18:37+00:00,,kill();collect()
0x6bce63f8286ff3918af758c013047ab88ef23a2a,10.0,2017-07-25 21:46:08+00:00,,kill();collect()
0x042282be20a25ea1d47e16d5b9d1c13607578690,10.0,2017-08-18 08:50:33+00:00,,kill();collect()
0x35142b6ec3677155f5f53f541680def1748f4fba,9.999,2017-08-07 19:13:22+00:00,,kill();collect()
0x5d497107f12683f2781b4edd7638435c21e51c10,9.9977,2017-08-07 20:15:31+00:00,,kill();collect()
0xc3496a400ba9743aff58e4acc5761cd47021daa7,9.9902,2017-08-08 00:38:01+00:00,,kill();collect()
0xc6c66fe1ec451611c021316a45be9d4967700104,9.99,2017-08-18 08:30:40+00:00,,kill();collect()
0x1e528a025831b3a58d412de5ac9d0def89022b6b,9.99,2017-08-18 08:14:13+00:00,,kill();collect()
0xcf9975741e81f96cfd924dfdf79eef157bc023f9,9.99,2017-08-07 22:49:16+00:00,,kill();collect()
0x7346e2a07688bff37a47cf79d99ac865c453a9ac,9.985,2017-08-07 19:28:10+00:00,,kill();collect()
0xb158abe17dd11593b62a2eb48cd10cf547cea5ba,9.9809,2017-08-07 20:57:44+00:00,,kill();collect()
0x70789691f2bd45585a4593d2800b8d5597c9574d,9.98,2017-08-19 18:01:49+00:00,,kill();collect()
0x97c7f2d30a7590c4c9dbcb04bacaa7b257e29ac9,9.976,2017-08-18 07:47:44+00:00,,kill();collect()
0xa6ea4c2df9b25f86406bba16f6765aa12ef43f59,9.97,2017-08-18 07:56:33+00:00,,kill();collect()
0x9ac1f447385f0b8a454f8440c4283b816cca7f97,9.9648284,2017-08-07 21:26:28+00:00,,kill();collect()
0xb14f5cae94339c90ca5819fddd5cba2bd56566d9,9.96,2017-08-07 20:03:48+00:00,,kill();collect()
0xdacba2dca9fc0595189669382d9c640c9b6984db,9.96,2017-08-18 08:32:32+00:00,,kill();collect()
0x6cd125d42363c495ec243dba86693b510d081f41,9.954597749,2017-08-07 20:23:18+00:00,,kill();collect()
0xb7626a304cfaab7aa3756de9cfc86be738c1c274,9.95006,2017-07-25 21:44:58+00:00,,kill();collect()
0x103c8437b3d56ffd8445ad83ab3b4211e92ebae7,9.948385197,2017-08-19 17:43:35+00:00,,kill();collect()
0x003c93e8ec5a1e2f5baaf61be50ea1c29b254a27,9.939,2017-08-19 18:33:29+00:00,,kill();collect()
0x5fe1c521c387e602371d1d966d6716d305e287c0,9.9052,2017-08-07 20:31:17+00:00,,kill();collect()
0xb6af0b9439631cfa139fc3c00db17f4485034b3a,9.90517,2017-08-18 08:30:40+00:00,,kill();collect()
0xce93c32d7f11de163a95a466da9a1983c89f2938,9.896744676,2017-08-18 07:35:34+00:00,,kill();collect()
0xd8a78cfa0ce29e1f00c8d3dcbc1ce52320166901,9.874,2017-08-18 07:35:34+00:00,,kill();collect()
0x88fbc9fca7795b7f77bdfdb5ff4c60332e6643c5,9.867000008,2017-08-18 07:46:55+00:00,,kill();collect()
0xe212114b8108119df16084af69e384070dae51cf,9.861446,2017-08-18 08:50:33+00:00,,kill();collect()
0x9c4e2cc039ff6290ae81cd53182aa99b3cb8ecad,9.85,2017-08-07 23:48:06+00:00,,kill();collect()
